#Event  L(segment)  X(mm)  Z(mm)  T(us) 
20 6 0.115000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
21 6 0.120000 1.590000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
22 6 0.125000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
23 6 0.130000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
24 6 0.075000 1.585000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
25 6 0.080000 1.585000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
26 6 0.085000 1.585000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
27 6 0.090000 1.585000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
28 6 0.095000 1.585000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
29 6 0.100000 1.585000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
30 6 0.105000 1.585000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
31 6 0.110000 1.585000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
32 6 0.115000 1.585000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
33 6 0.120000 1.585000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
34 6 0.125000 1.585000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
35 6 0.130000 1.585000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
36 6 0.075000 1.580000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
37 6 0.080000 1.580000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
38 6 0.085000 1.580000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
39 6 0.090000 1.580000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
40 6 0.095000 1.580000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
41 6 0.100000 1.580000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
42 6 0.105000 1.580000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
43 6 0.110000 1.580000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
44 6 0.115000 1.580000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
45 6 0.120000 1.580000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
46 6 0.125000 1.580000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
47 6 0.130000 1.580000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
48 6 0.075000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
49 6 0.080000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
50 6 0.085000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
51 6 0.090000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
52 6 0.095000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
53 6 0.100000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
54 6 0.105000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
55 6 0.110000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
56 6 0.115000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
57 6 0.120000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
58 6 0.125000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
59 6 0.130000 1.575000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
60 6 0.075000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
61 6 0.080000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
62 6 0.085000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
63 6 0.090000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
64 6 0.095000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
65 6 0.100000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
66 6 0.105000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
67 6 0.110000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
68 6 0.115000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
69 6 0.120000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
70 6 0.125000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
71 6 0.130000 1.570000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
72 6 0.075000 1.565000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
73 6 0.080000 1.565000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
74 6 0.085000 1.565000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
75 6 0.090000 1.565000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
76 6 0.095000 1.565000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
77 6 0.100000 1.565000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
78 6 0.105000 1.565000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
79 6 0.110000 1.565000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
80 6 0.115000 1.565000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
81 6 0.120000 1.565000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
82 6 0.125000 1.565000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
83 6 0.130000 1.565000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
84 6 0.075000 1.560000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
85 6 0.080000 1.560000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
86 6 0.085000 1.560000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
87 6 0.090000 1.560000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
88 6 0.095000 1.560000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
89 6 0.100000 1.560000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
90 6 0.105000 1.560000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
91 6 0.110000 1.560000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
92 6 0.115000 1.560000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
93 6 0.120000 1.560000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
94 6 0.125000 1.560000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
95 6 0.130000 1.560000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
96 6 0.075000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
97 6 0.080000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
98 6 0.085000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
99 6 0.090000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
100 6 0.095000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
101 6 0.100000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
102 6 0.105000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
103 6 0.110000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
104 6 0.115000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
105 6 0.120000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
106 6 0.125000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
107 6 0.130000 1.555000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
108 6 0.075000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
109 6 0.080000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
110 6 0.085000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
111 6 0.090000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
112 6 0.095000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
113 6 0.100000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
114 6 0.105000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
115 6 0.110000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
116 6 0.115000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
117 6 0.120000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
118 6 0.125000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
119 6 0.130000 1.550000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
120 6 0.075000 1.545000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
121 6 0.080000 1.545000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
122 6 0.085000 1.545000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
123 6 0.090000 1.545000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
124 6 0.095000 1.545000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
125 6 0.100000 1.545000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
126 6 0.105000 1.545000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
127 6 0.110000 1.545000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
128 6 0.115000 1.545000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
129 6 0.120000 1.545000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
130 6 0.125000 1.545000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
131 6 0.130000 1.545000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
132 6 0.075000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
133 6 0.080000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
134 6 0.085000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
135 6 0.090000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
136 6 0.095000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
137 6 0.100000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
138 6 0.105000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
139 6 0.110000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
140 6 0.115000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
141 6 0.120000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
142 6 0.125000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
143 6 0.130000 1.540000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
144 6 0.075000 1.535000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
145 6 0.080000 1.535000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
146 6 0.085000 1.535000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
147 6 0.090000 1.535000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
148 6 0.095000 1.535000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
149 6 0.100000 1.535000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
150 6 0.105000 1.535000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
151 6 0.110000 1.535000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
152 6 0.115000 1.535000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
153 6 0.120000 1.535000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
154 6 0.125000 1.535000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
155 6 0.130000 1.535000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
156 6 0.075000 1.530000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
157 6 0.080000 1.530000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
158 6 0.085000 1.530000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
159 6 0.090000 1.530000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
160 6 0.095000 1.530000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
161 6 0.100000 1.530000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
162 6 0.105000 1.530000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
163 6 0.110000 1.530000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
164 6 0.115000 1.530000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
165 6 0.120000 1.530000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
166 6 0.125000 1.530000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
167 6 0.130000 1.530000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
168 6 0.075000 1.525000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
169 6 0.080000 1.525000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
170 6 0.085000 1.525000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
171 6 0.090000 1.525000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
172 6 0.095000 1.525000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
173 6 0.100000 1.525000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
174 6 0.105000 1.525000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
175 6 0.110000 1.525000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
176 6 0.115000 1.525000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
177 6 0.120000 1.525000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
178 6 0.125000 1.525000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
179 6 0.130000 1.525000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
180 6 0.075000 1.520000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
181 6 0.080000 1.520000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
182 6 0.085000 1.520000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
183 6 0.090000 1.520000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
184 6 0.095000 1.520000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
185 6 0.100000 1.520000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
186 6 0.105000 1.520000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
187 6 0.110000 1.520000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
188 6 0.115000 1.520000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
189 6 0.120000 1.520000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
190 6 0.125000 1.520000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
191 6 0.130000 1.520000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
192 6 0.075000 1.515000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
193 6 0.080000 1.515000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
194 6 0.085000 1.515000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
195 6 0.090000 1.515000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
196 6 0.095000 1.515000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
197 6 0.100000 1.515000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
198 6 0.105000 1.515000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
199 6 0.110000 1.515000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
200 6 0.115000 1.515000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
201 6 0.120000 1.515000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
202 6 0.125000 1.515000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
203 6 0.130000 1.515000 0.060000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
204 6 0.075000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
205 6 0.080000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
206 6 0.085000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
207 6 0.090000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
208 6 0.095000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
209 6 0.100000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
210 6 0.105000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
211 6 0.110000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
212 6 0.115000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
213 6 0.120000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
214 6 0.125000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
215 6 0.130000 1.510000 0.059000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
216 6 0.075000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
217 6 0.080000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
218 6 0.085000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
219 6 0.090000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
220 6 0.095000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
221 6 0.100000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
222 6 0.105000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
223 6 0.110000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
224 6 0.115000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
225 6 0.120000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
226 6 0.125000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
227 6 0.130000 1.505000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
228 6 0.075000 1.500000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
229 6 0.080000 1.500000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
230 6 0.085000 1.500000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
231 6 0.090000 1.500000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
232 6 0.095000 1.500000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
233 6 0.100000 1.500000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
234 6 0.105000 1.500000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
235 6 0.110000 1.500000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
236 6 0.115000 1.500000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
237 6 0.120000 1.500000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
238 6 0.125000 1.500000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
239 6 0.130000 1.500000 0.058000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
240 6 0.075000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
241 6 0.080000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
242 6 0.085000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
243 6 0.090000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
244 6 0.095000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
245 6 0.100000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
246 6 0.105000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
247 6 0.110000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
248 6 0.115000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
249 6 0.120000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
250 6 0.125000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
251 6 0.130000 1.495000 0.057000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
252 6 0.075000 1.490000 0.056000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
253 6 0.080000 1.490000 0.056000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
254 6 0.085000 1.490000 0.056000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
255 6 0.090000 1.490000 0.056000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
256 6 0.095000 1.490000 0.056000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
257 6 0.100000 1.490000 0.056000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
258 6 0.105000 1.490000 0.056000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
259 6 0.110000 1.490000 0.056000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
260 6 0.115000 1.490000 0.056000 
