#Event  L(segment)  X(mm)  Z(mm)  T(us) 
40 9 0.095000 1.580000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
41 0 0.100000 1.580000 0.062000 
41 3 0.100000 1.580000 0.002000 
41 6 0.100000 1.580000 0.062000 
41 9 0.100000 1.580000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
42 0 0.105000 1.580000 0.062000 
42 3 0.105000 1.580000 0.002000 
42 6 0.105000 1.580000 0.062000 
42 9 0.105000 1.580000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
43 0 0.110000 1.580000 0.061000 
43 3 0.110000 1.580000 0.002000 
43 6 0.110000 1.580000 0.061000 
43 9 0.110000 1.580000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
44 0 0.115000 1.580000 0.061000 
44 3 0.115000 1.580000 0.002000 
44 6 0.115000 1.580000 0.061000 
44 9 0.115000 1.580000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
45 0 0.120000 1.580000 0.061000 
45 3 0.120000 1.580000 0.002000 
45 6 0.120000 1.580000 0.061000 
45 9 0.120000 1.580000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
46 0 0.125000 1.580000 0.061000 
46 6 0.125000 1.580000 0.061000 
46 9 0.125000 1.580000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
47 0 0.130000 1.580000 0.061000 
47 6 0.130000 1.580000 0.061000 
47 9 0.130000 1.580000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
48 0 0.075000 1.575000 0.061000 
48 6 0.075000 1.575000 0.061000 
48 9 0.075000 1.575000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
49 0 0.080000 1.575000 0.061000 
49 6 0.080000 1.575000 0.061000 
49 9 0.080000 1.575000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
50 0 0.085000 1.575000 0.061000 
50 3 0.085000 1.575000 0.003000 
50 6 0.085000 1.575000 0.061000 
50 9 0.085000 1.575000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
51 0 0.090000 1.575000 0.061000 
51 3 0.090000 1.575000 0.003000 
51 6 0.090000 1.575000 0.061000 
51 9 0.090000 1.575000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
52 0 0.095000 1.575000 0.061000 
52 3 0.095000 1.575000 0.003000 
52 6 0.095000 1.575000 0.061000 
52 9 0.095000 1.575000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
53 0 0.100000 1.575000 0.061000 
53 3 0.100000 1.575000 0.003000 
53 6 0.100000 1.575000 0.061000 
53 9 0.100000 1.575000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
54 0 0.105000 1.575000 0.061000 
54 3 0.105000 1.575000 0.003000 
54 6 0.105000 1.575000 0.061000 
54 9 0.105000 1.575000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
55 0 0.110000 1.575000 0.061000 
55 3 0.110000 1.575000 0.003000 
55 6 0.110000 1.575000 0.061000 
55 9 0.110000 1.575000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
56 0 0.115000 1.575000 0.061000 
56 3 0.115000 1.575000 0.003000 
56 6 0.115000 1.575000 0.061000 
56 9 0.115000 1.575000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
57 0 0.120000 1.575000 0.061000 
57 3 0.120000 1.575000 0.003000 
57 6 0.120000 1.575000 0.061000 
57 9 0.120000 1.575000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
58 0 0.125000 1.575000 0.061000 
58 6 0.125000 1.575000 0.061000 
58 9 0.125000 1.575000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
59 0 0.130000 1.575000 0.061000 
59 6 0.130000 1.575000 0.061000 
59 9 0.130000 1.575000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
60 0 0.075000 1.570000 0.061000 
60 6 0.075000 1.570000 0.061000 
60 9 0.075000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
61 0 0.080000 1.570000 0.061000 
61 6 0.080000 1.570000 0.061000 
61 9 0.080000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
62 0 0.085000 1.570000 0.061000 
62 3 0.085000 1.570000 0.003000 
62 6 0.085000 1.570000 0.061000 
62 9 0.085000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
63 0 0.090000 1.570000 0.061000 
63 3 0.090000 1.570000 0.002000 
63 6 0.090000 1.570000 0.061000 
63 9 0.090000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
64 0 0.095000 1.570000 0.061000 
64 3 0.095000 1.570000 0.003000 
64 6 0.095000 1.570000 0.061000 
64 9 0.095000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
65 0 0.100000 1.570000 0.061000 
65 3 0.100000 1.570000 0.003000 
65 6 0.100000 1.570000 0.061000 
65 9 0.100000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
66 0 0.105000 1.570000 0.061000 
66 3 0.105000 1.570000 0.003000 
66 6 0.105000 1.570000 0.061000 
66 9 0.105000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
67 0 0.110000 1.570000 0.061000 
67 3 0.110000 1.570000 0.003000 
67 6 0.110000 1.570000 0.061000 
67 9 0.110000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
68 0 0.115000 1.570000 0.061000 
68 3 0.115000 1.570000 0.002000 
68 6 0.115000 1.570000 0.061000 
68 9 0.115000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
69 0 0.120000 1.570000 0.061000 
69 3 0.120000 1.570000 0.003000 
69 6 0.120000 1.570000 0.061000 
69 9 0.120000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
70 0 0.125000 1.570000 0.061000 
70 6 0.125000 1.570000 0.061000 
70 9 0.125000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
71 0 0.130000 1.570000 0.061000 
71 6 0.130000 1.570000 0.061000 
71 9 0.130000 1.570000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
72 0 0.075000 1.565000 0.061000 
72 6 0.075000 1.565000 0.061000 
72 9 0.075000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
73 0 0.080000 1.565000 0.061000 
73 6 0.080000 1.565000 0.061000 
73 9 0.080000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
74 0 0.085000 1.565000 0.062000 
74 3 0.085000 1.565000 0.004000 
74 6 0.085000 1.565000 0.062000 
74 9 0.085000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
75 0 0.090000 1.565000 0.062000 
75 3 0.090000 1.565000 0.003000 
75 6 0.090000 1.565000 0.062000 
75 9 0.090000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
76 0 0.095000 1.565000 0.062000 
76 3 0.095000 1.565000 0.003000 
76 6 0.095000 1.565000 0.062000 
76 9 0.095000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
77 0 0.100000 1.565000 0.062000 
77 3 0.100000 1.565000 0.003000 
77 6 0.100000 1.565000 0.062000 
77 9 0.100000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
78 0 0.105000 1.565000 0.062000 
78 3 0.105000 1.565000 0.003000 
78 6 0.105000 1.565000 0.062000 
78 9 0.105000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
79 0 0.110000 1.565000 0.062000 
79 3 0.110000 1.565000 0.003000 
79 6 0.110000 1.565000 0.062000 
79 9 0.110000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
80 0 0.115000 1.565000 0.062000 
80 3 0.115000 1.565000 0.003000 
80 6 0.115000 1.565000 0.062000 
80 9 0.115000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
81 0 0.120000 1.565000 0.062000 
81 3 0.120000 1.565000 0.004000 
81 6 0.120000 1.565000 0.062000 
81 9 0.120000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
82 0 0.125000 1.565000 0.061000 
82 6 0.125000 1.565000 0.061000 
82 9 0.125000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
83 0 0.130000 1.565000 0.061000 
83 6 0.130000 1.565000 0.061000 
83 9 0.130000 1.565000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
84 0 0.075000 1.560000 0.061000 
84 6 0.075000 1.560000 0.061000 
84 9 0.075000 1.560000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
85 0 0.080000 1.560000 0.061000 
85 6 0.080000 1.560000 0.061000 
85 9 0.080000 1.560000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
86 0 0.085000 1.560000 0.061000 
86 3 0.085000 1.560000 0.004000 
86 6 0.085000 1.560000 0.061000 
86 9 0.085000 1.560000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
87 0 0.090000 1.560000 0.061000 
87 3 0.090000 1.560000 0.004000 
87 6 0.090000 1.560000 0.061000 
87 9 0.090000 1.560000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
88 0 0.095000 1.560000 0.062000 
88 3 0.095000 1.560000 0.004000 
88 6 0.095000 1.560000 0.062000 
88 9 0.095000 1.560000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
89 0 0.100000 1.560000 0.062000 
89 3 0.100000 1.560000 0.004000 
89 6 0.100000 1.560000 0.062000 
89 9 0.100000 1.560000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
90 0 0.105000 1.560000 0.062000 
90 3 0.105000 1.560000 0.004000 
90 6 0.105000 1.560000 0.062000 
90 9 0.105000 1.560000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
91 0 0.110000 1.560000 0.062000 
91 3 0.110000 1.560000 0.004000 
91 6 0.110000 1.560000 0.062000 
91 9 0.110000 1.560000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
92 0 0.115000 1.560000 0.061000 
92 3 0.115000 1.560000 0.004000 
92 6 0.115000 1.560000 0.061000 
92 9 0.115000 1.560000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
93 0 0.120000 1.560000 0.061000 
93 3 0.120000 1.560000 0.004000 
93 6 0.120000 1.560000 0.061000 
93 9 0.120000 1.560000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
94 0 0.125000 1.560000 0.061000 
94 6 0.125000 1.560000 0.061000 
94 9 0.125000 1.560000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
95 0 0.130000 1.560000 0.061000 
95 6 0.130000 1.560000 0.061000 
95 9 0.130000 1.560000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
96 0 0.075000 1.555000 0.061000 
96 6 0.075000 1.555000 0.061000 
96 9 0.075000 1.555000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
97 0 0.080000 1.555000 0.061000 
97 6 0.080000 1.555000 0.061000 
97 9 0.080000 1.555000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
98 0 0.085000 1.555000 0.061000 
98 3 0.085000 1.555000 0.004000 
98 6 0.085000 1.555000 0.061000 
98 9 0.085000 1.555000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
99 0 0.090000 1.555000 0.061000 
99 3 0.090000 1.555000 0.005000 
99 6 0.090000 1.555000 0.061000 
99 9 0.090000 1.555000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
100 0 0.095000 1.555000 0.061000 
100 3 0.095000 1.555000 0.004000 
100 6 0.095000 1.555000 0.061000 
100 9 0.095000 1.555000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
101 0 0.100000 1.555000 0.061000 
101 3 0.100000 1.555000 0.004000 
101 6 0.100000 1.555000 0.061000 
101 9 0.100000 1.555000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
102 0 0.105000 1.555000 0.061000 
102 3 0.105000 1.555000 0.004000 
102 6 0.105000 1.555000 0.061000 
102 9 0.105000 1.555000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
103 0 0.110000 1.555000 0.061000 
103 3 0.110000 1.555000 0.004000 
103 6 0.110000 1.555000 0.061000 
103 9 0.110000 1.555000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
104 0 0.115000 1.555000 0.061000 
104 3 0.115000 1.555000 0.005000 
104 6 0.115000 1.555000 0.061000 
104 9 0.115000 1.555000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
105 0 0.120000 1.555000 0.061000 
105 3 0.120000 1.555000 0.004000 
105 6 0.120000 1.555000 0.061000 
105 9 0.120000 1.555000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
106 0 0.125000 1.555000 0.061000 
106 6 0.125000 1.555000 0.061000 
106 9 0.125000 1.555000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
107 0 0.130000 1.555000 0.061000 
107 6 0.130000 1.555000 0.061000 
107 9 0.130000 1.555000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
108 0 0.075000 1.550000 0.061000 
108 6 0.075000 1.550000 0.061000 
108 9 0.075000 1.550000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
109 0 0.080000 1.550000 0.061000 
109 6 0.080000 1.550000 0.061000 
109 9 0.080000 1.550000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
110 0 0.085000 1.550000 0.061000 
110 3 0.085000 1.550000 0.005000 
110 6 0.085000 1.550000 0.061000 
110 9 0.085000 1.550000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
111 0 0.090000 1.550000 0.061000 
111 3 0.090000 1.550000 0.004000 
111 6 0.090000 1.550000 0.061000 
111 9 0.090000 1.550000 0.076000 
